date,year,month,district,latitude,longitude,temperature_avg,precipitation,disno,disaster_type,country,precip_rolling_30d_mean,precip_rolling_30d_std,spi_like,heat_stress_index,is_monsoon,temp_lag_1,precip_lag_1,temp_lag_3,precip_lag_3,temp_lag_7,precip_lag_7,temp_lag_30,precip_lag_30,distance_to_center_km,region_id,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
2006-06-24,0.0,-0.1455141790029538,,25.62,83.67,-1.9690408636231388e-16,0.0,2006-0342-NPL,Flood,Nepal,-4.626608704529622e-16,3.9175380848815104e-16,-3.646842994530609e-18,-1.9690408636231388e-16,1.4084860699742006,1.9727608150596573e-16,-1.4416032448323546e-16,1.9752792434879602e-16,0.0,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,0.52827194024491,25.6_83.7,0.3551923487271979,-0.40185097748501153,-0.18538166516156454,-0.1995160485423858,0.5246095564180011,-0.18665542754482925,0.18136010420472298,-0.4194207009582807,0.5475535589736226,-0.08684181599369825
1981-01-31,-1.6924072034431714,-1.5958316900786034,Morang,26.5,87.3,-0.16794874559571288,-0.5347724610539649,,,,-1.7883729170880143,3.9175380848815104e-16,-3.646842994530609e-18,-0.16794874559571288,-0.7099821725736467,1.9727608150596573e-16,-1.4416032448323546e-16,1.9752792434879602e-16,0.0,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,-1.2295881873145496,-0.15066995796707625,-1.5019423401319532,0.8192486030250049,0.7242763648832132,-1.3217903513550922,-0.768054002050956,0.5033004354637587,0.11590197599358175,-0.6964561963988303
1981-02-28,-1.6924072034431714,-1.3057681878634735,Morang,26.5,87.3,0.1512910355931433,-0.5943913608983384,,,,-1.8840900985237385,-2.354222519906764,-0.7221970890841207,0.1512910355931433,-0.7099821725736467,-0.1704828675612369,-0.5365153696435172,1.9752792434879602e-16,0.0,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,-1.9045694074878903,-0.4556487729061744,-2.1575188763609128,1.9952467480623102,0.7532692819373676,-1.0208864906117365,-0.3233112478311583,0.7378130344792289,0.584008739714607,-0.2917857117242083
1981-03-31,-1.6924072034431714,-1.0157046856483436,Morang,26.5,87.3,0.6667302656376504,-0.42395025437046097,,,,-1.7335688619575826,-2.233679305458097,1.1604434726159674,0.6667302656376504,-0.7099821725736467,0.14936002781613958,-0.5961643298890006,1.9752792434879602e-16,0.0,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,-0.8193313716795455,-0.8459590866189317,-2.6321537654241762,1.6877195141869938,0.7350226464829144,-1.1387144423813307,-0.10327793204323445,0.6055910144051291,-0.20413486010409623,0.1866155237396736
1981-04-30,-1.6924072034431714,-0.7256411834332137,Morang,26.5,87.3,0.9981632329135811,0.027754165368797955,,,,-1.2957061660417222,-1.702872520818842,1.547419418192509,0.9981632329135811,-0.7099821725736467,0.6657730359775283,-0.42563728537767814,-0.1715096055167768,-0.5400578892339417,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,0.03271430684822568,-0.8348517660321164,-2.8515319315643186,1.204902973153406,0.730424104838925,-1.0609140191803645,-0.26672187994337343,0.29089302127109645,-0.5707308429953544,0.2172273601932699
1981-05-31,-1.6924072034431714,-0.4355776812180837,Morang,26.5,87.3,1.1910372673818481,1.5227893323845945,,,,-0.07288661633590973,-0.06043672363081553,1.8286558940487283,1.1910372673818481,-0.7099821725736467,0.9978321530533465,0.026294887910805698,0.1487416016205252,-0.599768348896023,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,1.7240008341216162,-0.4629467153017333,-2.1135920435239615,-0.03439003326675211,0.7226329201757783,-1.463366647762223,-0.6943163274965339,-0.04672207041370307,-1.4446168797845222,0.08932943992317567
1981-06-30,-1.6924072034431714,-0.1455141790029538,Morang,26.5,87.3,1.3473317435888923,1.4022334277673152,,,,0.6778095637814143,0.18908984087147887,1.2779561758159044,1.3473317435888923,1.4084860699742006,1.1910705690105112,1.5220838654952489,0.6658138631442938,-0.4290654871750048,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,3.2076317173545177,-0.6845750136326858,-1.4752781438436038,-0.38119461856925063,0.7477607189903892,-1.9145890354986308,-0.6772804026672055,-0.27730427044436723,0.36634322422862264,-0.15896242050578144
1981-07-31,-1.6924072034431714,0.14454932321217612,Morang,26.5,87.3,1.1300713369464763,3.7261538094561626,,,,2.2800258821872776,1.863696610476858,1.9959292596086087,1.1300713369464763,1.4084860699742006,1.3476603198723518,1.4014671754750454,0.9982968872208678,0.02333263832596833,0.0,-1.4454971162549245e-16,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,4.899839923296811,-0.48778213020262645,-0.24827397382490402,-1.9418196214645917,0.7432544784921785,-2.6763330722786325,-0.9099030329950076,-0.6803500580172439,-1.4649002004871154,-0.06807841263732357
1981-08-31,-1.6924072034431714,0.43461282542730606,Morang,26.5,87.3,1.0934917786852534,2.6067785470720053,,,,3.032403391803582,1.928451283564348,1.087061182232237,1.0934917786852534,1.4084860699742006,1.1299894605183038,3.726559299329602,1.1917819915329875,1.5206638079133645,-0.16722193187667453,-0.5463607862522657,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,5.480850058330931,-0.13971857040364943,1.705665709821864,-1.322520650225038,0.7641809624149918,-3.034713776660369,-1.6388956153274692,0.3416054805853548,0.3185757272309138,-0.9269785631271845
1981-09-30,-1.6924072034431714,0.724676327642436,Morang,26.5,87.3,0.9371973024782092,0.6130941463238465,,,,2.906290759989411,1.6569054355215895,-0.19658258721924904,0.9371973024782092,1.4084860699742006,1.0933407954229797,2.6066196375776687,1.3485716450272918,1.3999227593789858,0.15419083200902292,-0.6061708625208425,-4.0634086010720985e-16,-1.4883807205818506e-16,1.1482654312225058,26.5_87.3,4.141449118977629,0.7919196038824338,1.6923394450511846,-0.056833060424111445,0.7708508492339535,-2.136822249175402,-1.664055194325132,-0.6336208865310459,1.0897000129485932,-1.104801580408716
