Temporary Crop,Number of Holdings.1,Area (ha.),Permanent crop type,Total holdings reporting,Compact plantation area (ha),Compact plantation Number of scattered trees,Productive age,Non-productive age,Productive age.1,Non-productive age.1,No. of holdings,Area (ha),Number of trees,Area_ha,prov,dist,Area_Name,Total_Households,total,Male,Female,absnt_cntry_hhld,absnt_cntry_tot,absnt_cntry_male,absnt_cntry_feml,absnt_abrd_hhld,absnt_abrd_tot,absnt_abrd_male,absnt_abrd_feml,Domain Value,Analytical Domain,Yes,No,Don't Know,River,Length(km),River Attribute,Value,District/Zone/Region,Total Population (2011),Total Area (Km2),Total Road Length (Km.),Population Influenced per Km. Road (Nos.),Road Density (Km/100,locations,Altitude in masl,Average Annual Rainfall(in mm),S.N.,Glacier Lake,Location /District,Altitude (m.),Area (sq.m.),Year,Number of People Dead,Number of People Injured,Number of Livestock Loss,Number of House Destroyed,Number of Affected Family,Land Affected (Ha.),Estimated Loss (Million NRs.),Disaster type,No. of death,No. of persons missing,No. of persons injured,No. of houses damaged or destroyed,No of affected families,No. of incidents,Year.1,Flood & Landslides,Earthquake,"Windstorms, Hailstorm & Thunderbolt",Avalanche,Fire,Epidemic,Stampede,Total.1,S.N..1,District,Total Lake,<100m,100-499 m,500- 1999m,2000-2999m,3000-4999m,> 5000m,Region.1,Station,Date of Establishment,Meterological Station Lat(N),Meterological Station Long(E),Meterological Station Altitude(in masl),Hydrological Station Lat(N),Hydrological Station Long.(E),Hydrological Station Altitude(in masl),Catchment(sq km),River Basin,Glacier Covered(in percentage),Source,Type of hydrological station,Type of meterological station,Remarks,district,district_matched,district_matched_second_round,district_matched_count,district_matched_second_round_count
Sweet potato,34144.0,819.1,Coffee,27778.0,599.1,8442.0,417.3,564819.0,3254.0,181.8,245230.0,123534.0,54249.0,50,1,13,Sunsari,212545,926962,449023,477939,15784,28520,17800,10720,48412,62071,52049,10022,,,86.0,11.4,3.4,Kankai,108.0,Estimated Runoff (mÂ³/sec) - From All Basins,68.0,Lalitpur,466784.0,385.0,131.39,3553.0,34.0,Makawanpur,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2008-01-01,171.0,55.0,7066.0,13864.0,21600.0,21315.0,1633.28,,1297.0,0.0,305.0,479.0,4744.0,947.5,2008-01-01,134.0,0.0,16.0,0.0,11.0,10.0,0.0,171.0,26.0,Bhaktapur,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,sunsari,sunsari,sunsari,78,80
Colocasia,260716.0,3946.9,Cardamom,78091.0,19113.5,67940.0,16852.2,19952.0,2261.0,140.10000000000002,165663.0,230090.0,117661.0,50,1,14,Udayapur,81089,340721,163738,176983,17456,41312,24291,17021,17510,21017,18515,2502,,,86.0,11.4,3.4,Other River,240.0,Estimated Runoff (mÂ³/sec) - From All Basins,1001.0,Bhaktapur,303027.0,119.0,115.06,2634.0,97.0,Syangja,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2009-01-01,641.0,117.0,228.0,1050.0,3028.0,,420.25,,1297.0,0.0,305.0,479.0,4744.0,947.5,2009-01-01,135.0,0.0,7.0,2.0,35.0,462.0,0.0,641.0,27.0,Kathmandu,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,udayapur,udayapur,udayapur,78,80
Yam/cassava,59982.0,633.0,Fodder Tree,115538.0,18261.0,220.1,174249.0,125672.0,4230.0,118401.0,165663.0,230090.0,117661.0,50,2,15,Saptari,146854,706255,351368,354887,9934,23548,15435,8113,28783,33510,32338,1172,,,86.0,11.4,3.4,Mahakali,223.0,Estimated Runoff (mÂ³/sec) - From Nepal,247.0,Kathmandu,1740977.0,395.0,247.7,7028.0,63.0,Syangja,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2010-01-01,448.0,261.0,1526.0,23370.0,19026.0,200 no,1398.19,,1297.0,0.0,305.0,479.0,4744.0,947.5,2010-01-01,240.0,0.0,70.0,0.0,69.0,36.0,0.0,415.0,28.0,Nuwakot,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,saptari,saptari,saptari,78,80
Other tubers and bulbs,10381.0,607.5,Multi-year grass crops,115538.0,37507.0,3221.1,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,16,Siraha,148571,739953,363724,376229,6594,15275,9884,5391,47935,56491,55530,961,,,86.0,11.4,3.4,Karnali,507.0,Estimated Runoff (mÂ³/sec) - From Nepal,1371.0,Nuwakot,278761.0,1121.0,211.38,1319.0,19.0,Panchsaya Khola,1000-1500,3000 and above,10.5,,,4945.0,143249.0,2011-01-01,507.0,666.0,864.0,11348.0,12135.0,,7051.62,,1297.0,0.0,305.0,479.0,4744.0,947.5,2011-01-01,252.0,6.0,114.0,0.0,46.0,9.0,0.0,507.0,29.0,Rasuwa,38.0,0.0,0.0,0.0,0.0,34.0,4.0,,,,,,,,,,,,,,,,,siraha,siraha,siraha,78,80
Mustard,1133489.0,162502.2,Broom Grass (Amriso),115538.0,112465.0,15438.9,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,17,Dhanusa,177143,867747,429893,437854,9326,23090,14332,8758,61000,73688,71920,1768,,,86.0,11.4,3.4,Babai,190.0,Estimated Runoff (mÂ³/sec) - From Nepal,103.0,Rasuwa,43798.0,1544.0,66.2,662.0,4.0,Salyan,1000-1500,1000-2000,10.5,,,4945.0,143249.0,2012-01-01,385.0,384.0,1181.0,4235.0,3645.0,,1293.96,,1297.0,0.0,305.0,479.0,4744.0,947.5,2012-01-01,112.0,1.0,148.0,9.0,77.0,33.0,0.0,385.0,30.0,Dhading,5.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,dhanusa,dhanusha,dhanusha,78,80
Ground nut,37805.0,3254.2,Thatch,115538.0,215571.0,38913.3,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,18,Mahottari,137902,706994,349159,357835,7854,20354,12809,7545,42436,52674,51070,1604,,,86.0,11.4,3.4,West Rapti,257.0,Estimated Runoff (mÂ³/sec) - From Nepal,224.0,Dhading,336250.0,1926.0,219.08,1535.0,11.0,Nuwakot,1000-1500,1000-2000,10.5,,,4945.0,143249.0,2013-01-01,460.0,494.0,1536.0,2510.0,2710.0,,3425.59,,1297.0,0.0,305.0,479.0,4744.0,947.5,2013-01-01,219.0,0.0,154.0,8.0,59.0,4.0,0.0,460.0,31.0,Makwanpur,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,mahottari,mahottari,mahottari,78,80
Linseed,55560.0,8302.8,Bamboo,115538.0,297470.0,3699.5,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,19,Sarlahi,164893,862470,435131,427339,12862,31844,19977,11867,29054,35084,32669,2415,,,86.0,11.4,3.4,Narayani,332.0,Estimated Runoff (mÂ³/sec) - From Nepal,1409.0,Makwanpur,427494.0,2426.0,329.34,1298.0,14.0,Dhankuta,1000-1500,1000-2000,10.5,,,4945.0,143249.0,2014-01-01,503.0,479.0,0.0,34721.0,39812.0,,1681.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,2014-01-01,248.0,0.0,135.0,13.0,83.0,12.0,0.0,501.0,32.0,Rautahat,85.0,68.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,sarlahi,sarlahi,sarlahi,78,80
Sesame,51195.0,4259.6,Other permanent crop,115538.0,173153.0,3051.4,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,20,Rautahat,137032,813573,408403,405170,10267,25045,16589,8456,18995,23892,22645,1247,,,86.0,11.4,3.4,Bagmati,163.0,Estimated Runoff (mÂ³/sec) - From Nepal,178.0,Rautahat,696221.0,1126.0,120.83,5762.0,11.0,Patan,1000-1500,1000-2000,10.5,,,4945.0,143249.0,2015-01-01,9248.0,22633.0,1974.0,1079778.0,828.0,,944.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,2015-01-01,124.0,8962.0,93.0,1.0,57.0,3.0,0.0,9248.0,33.0,Bara,93.0,75.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,rautahat,rautahat,rautahat,78,80
Niger seed,6278.0,315.7,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,21,Bara,131240,763137,389787,373350,10771,25210,16426,8784,14472,17357,15824,1533,,,86.0,11.4,3.4,Sapkoshi,513.0,Estimated Runoff (mÂ³/sec) - From Nepal,878.0,Bara,701037.0,1190.0,186.58,3757.0,16.0,Baitadi,1000-1500,1000-2000,10.5,,,4945.0,143249.0,2016-01-01,450.0,764.0,8162.0,4655.0,13241.0,,2812.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,2016-01-01,256.0,0.0,108.0,0.0,41.0,19.0,0.0,450.0,34.0,Parsa,71.0,63.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,bara,bara,bara,78,80
Other oil seeds,17539.0,1506.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,2,22,Parsa,113080,654471,338286,316185,9072,24182,15241,8941,9340,11590,10431,1159,,,86.0,11.4,3.4,Kankai,108.0,Estimated Runoff (mÂ³/sec) - From Nepal,68.0,Parsa,601701.0,1353.0,87.82,6852.0,6.0,Gorkha,1000-1500,1000-2000,10.5,,,4945.0,143249.0,2017-01-01,490.0,737.0,3291.0,1433352.0,19073.0,,2495.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,2017-01-01,249.0,0.0,90.0,1.0,63.0,10.0,0.0,490.0,35.0,Chitwan,40.0,0.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,parsa,parsa,parsa,78,80
Sugarcane,96204.0,40149.5,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,23,Dolakha,49538,172767,83720,89047,14273,47497,25879,21618,6708,9100,6797,2303,,,86.0,11.4,3.4,Other River,240.0,Estimated Runoff (mÂ³/sec) - From Nepal,1001.0,Chitwan,566661.0,2218.0,233.39,2428.0,11.0,Ilam,1000-1500,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,36.0,Gorkha,36.0,0.0,1.0,5.0,3.0,26.0,1.0,,,,,,,,,,,,,,,,,dolakha,dolakha,dolakha,78,80
Jute,13130.0,2819.3,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,24,Sindhupalchok,71773,262624,129205,133419,22854,73855,39905,33950,12759,17532,11154,6378,,,86.0,11.4,3.4,,240.0,,1549.5,Gorkha,269388.0,3610.0,213.24,1263.0,6.0,Doti,1000-1500,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,37.0,Lamjung,23.0,0.0,0.0,5.0,4.0,14.0,0.0,,,,,,,,,,,,,,,,,sindhupalchok,sindhupalchok,sindhupalchok,78,80
Tobacco,7242.0,1065.0,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,25,Rasuwa,11140,46689,24035,22654,1863,4836,2532,2304,1810,2302,1329,973,,,86.0,11.4,3.4,,240.0,,1549.5,Lamjung,169104.0,1692.0,106.84,1583.0,6.0,Silgadhi,1000-1500,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,Tanahun,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,rasuwa,rasuwa,rasuwa,78,80
Other cash crops,4643.0,575.5,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,26,Dhading,83642,325710,159048,166662,22760,68085,36786,31299,14930,19063,15859,3204,,,86.0,11.4,3.4,,240.0,,1549.5,Tanahu,330581.0,1546.0,179.49,1842.0,12.0,Dailekh,1000-1500,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,39.0,Syangja,4.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,dhading,dhading,dhading,78,80
Chili,797330.0,10784.5,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,27,Nuwakot,68679,263391,128998,134393,20815,65446,35532,29914,11996,15608,12162,3446,,,86.0,11.4,3.4,,240.0,,1549.5,Syangja,288040.0,1164.0,171.58,1679.0,15.0,Taplethok,1000-1500,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,40.0,Kaski,29.0,0.0,0.0,22.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,nuwakot,nuwakot,nuwakot,78,80
Onion,1203834.0,15530.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,28,Kathmandu,544867,2041587,1035726,1005861,36229,90819,48488,42331,97099,144884,92944,51940,,,86.0,11.4,3.4,,240.0,,1549.5,Kaski,490429.0,2017.0,128.96,3803.0,6.0,Lumle,1500-2000,3000 and above,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,41.0,Manang,66.0,0.0,0.0,0.0,0.0,26.0,40.0,,,,,,,,,,,,,,,,,kathmandu,kathmandu,kathmandu,78,80
Garlic,1255887.0,13415.0,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,29,Bhaktapur,108503,432132,218418,213714,6639,14663,8256,6407,17293,24039,15972,8067,,,86.0,11.4,3.4,,240.0,,1549.5,Manang,6527.0,2246.0,30.0,0.0,1.0,Kaski,1500-2000,3000 and above,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,42.0,Mustang,78.0,0.0,0.0,0.0,2.0,5.0,71.0,,,,,,,,,,,,,,,,,bhaktapur,bhaktapur,bhaktapur,78,80
Turmeric,285364.0,4404.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,30,Lalitpur,140367,551667,277131,274536,8016,22012,11720,10292,24149,36874,23294,13580,,,86.0,11.4,3.4,,240.0,,1549.5,Mustang,13799.0,3573.0,194.0,0.0,5.0,Okhaldhunga,1500-2000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,43.0,Myagdi,33.0,0.0,0.0,5.0,14.0,13.0,1.0,,,,,,,,,,,,,,,,,lalitpur,lalitpur,lalitpur,78,80
Coriander seed,437121.0,4757.8,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,31,Kavrepalanchok,91428,364039,178909,185130,26583,95624,52038,43586,15096,19858,14812,5046,,,86.0,11.4,3.4,,240.0,,1549.5,Myagdi,113731.0,2297.0,44.0,2585.0,2.0,Pakhribas,1500-2000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,44.0,Parbat,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kavrepalanchok,kabhrepalanchok,kabhrepalanchok,78,80
Other spices,25893.0,595.5,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,32,Ramechhap,46489,170302,80824,89478,20265,84008,45417,38591,7353,9853,7875,1978,,,86.0,11.4,3.4,,240.0,,1549.5,Parbat,147076.0,494.0,92.11,1597.0,19.0,Tamghas,1500-2000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,45.0,Baglung,60.0,0.0,0.0,15.0,37.0,8.0,0.0,,,,,,,,,,,,,,,,,ramechhap,ramechhap,ramechhap,78,80
Cauliflower,623119.0,15124.0,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,33,Sindhuli,69364,300026,147065,152961,18572,56666,31558,25108,11280,13733,12013,1720,,,86.0,11.4,3.4,,240.0,,1549.5,Baglung,270009.0,1784.0,228.13,1184.0,13.0,Bhojpur,1500-2000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,46.0,Gulmi,11.0,0.0,0.0,7.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,sindhuli,sindhuli,sindhuli,78,80
Cabbage,478865.0,8935.1,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,34,Makwanpur,105792,466073,233816,232257,17362,50281,28063,22218,15894,20020,15254,4766,,,86.0,11.4,3.4,,240.0,,1549.5,Gulmi,283577.0,1149.0,205.14,1382.0,18.0,Dadeldhura,1500-2000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,47.0,Palpa,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,makwanpur,makawanpur,makawanpur,78,80
Tomato,424093.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,3,35,Chitawan,179345,719859,351789,368070,19143,39896,23733,16163,46861,65064,50655,14409,,,86.0,11.4,3.4,,240.0,,1549.5,Palpa,269372.0,1373.0,248.88,1082.0,18.0,Chatara,1500-2000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,48.0,Nawalparasi,163.0,0.0,163.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,chitawan,chitawan,chitawan,78,80
Other vegetables,1805365.0,72746.0,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,36,Gorkha,71826,251027,118155,132872,26760,79772,42937,36835,17384,23068,19325,3743,,,86.0,11.4,3.4,,240.0,,1549.5,Nawalparasi,635793.0,2162.0,375.73,1692.0,17.0,Kannyam,1500-2000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,49.0,Rupandehi,289.0,131.0,158.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,gorkha,gorkha,gorkha,78,80
Grass crops,176440.0,16436.3,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,37,Manang,1572,5658,3192,2466,470,951,444,507,211,319,205,114,,,86.0,11.4,3.4,,240.0,,1549.5,Rupandehi,886706.0,1360.0,169.85,5221.0,12.0,Jomsom,2000-3000,0-500,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,50.0,Kapilvastu,351.0,190.0,161.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,manang,manang,manang,78,80
Other temporary crops,28214.0,2226.2,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,38,Mustang,3674,14452,7934,6518,1261,2623,1307,1316,757,1207,747,460,,,86.0,11.4,3.4,,240.0,,1549.5,Kapilbastu,570612.0,1738.0,232.97,2449.0,13.0,Mustang,2000-3000,0-500,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,51.0,Arghakhanchi,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,mustang,mustang,mustang,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,39,Myagdi,28830,107033,52153,54880,6142,14777,7305,7472,8320,10766,8961,1805,,,86.0,11.4,3.4,,240.0,,1549.5,Arghakhanchi,200446.0,1193.0,170.91,1173.0,14.0,Lete,2000-3000,3000 and above,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,52.0,Pyuthan,19.0,0.0,0.0,13.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,myagdi,myagdi,myagdi,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,40,Kaski,160651,600051,292791,307260,14384,34194,18541,15653,45499,66327,50594,15733,,,86.0,11.4,3.4,,240.0,,1549.5,Pyuthan,235165.0,1309.0,169.43,1388.0,13.0,Daman,2000-3000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,53.0,Rolpa,16.0,0.0,0.0,11.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,kaski,kaski,kaski,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,41,Lamjung,44170,155852,74077,81775,12500,31656,16792,14864,13044,16871,14762,2109,,,86.0,11.4,3.4,,240.0,,1549.5,Rolpa,227075.0,1879.0,170.41,1333.0,9.0,Makawanpur,2000-3000,1000-2000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,54.0,Rukum,70.0,0.0,0.0,13.0,14.0,31.0,12.0,,,,,,,,,,,,,,,,,lamjung,lamjung,lamjung,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,42,Tanahu,88583,321153,150094,171059,20893,53977,29298,24679,29026,37372,33339,4033,,,86.0,11.4,3.4,,240.0,,1549.5,Rukum,210878.0,2877.0,158.4,1331.0,6.0,Musikot,2000-3000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,55.0,Salyan,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,tanahu,tanahu,tanahu,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,43,Nawalparasi (Bardaghat Susta East),93925,378079,177887,200192,11945,25436,14549,10887,33454,44771,38152,6619,,,86.0,11.4,3.4,,240.0,,1549.5,Salyan,243575.0,1462.0,175.66,1387.0,12.0,Kakani,2000-3000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,56.0,Dang,38.0,0.0,8.0,30.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,nawalparasi (bardaghat susta east),nawalpur,nawalpur,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,44,Syangja,68959,253024,116678,136346,19310,57309,30828,26481,25518,35289,31292,3997,,,86.0,11.4,3.4,,240.0,,1549.5,Dang,557852.0,2955.0,366.22,1523.0,12.0,Nuwakot,2000-3000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,57.0,Banke,243.0,0.0,243.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,syangja,syangja,syangja,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,45,Parbat,36137,130887,61678,69209,10155,30792,16759,14033,11772,16446,14114,2332,,,86.0,11.4,3.4,,240.0,,1549.5,Banke,493017.0,2337.0,226.41,2178.0,10.0,Jiri,2000-3000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,58.0,Bardiya,82.0,0.0,82.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,parbat,parbat,parbat,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,4,46,Baglung,64153,249211,116194,133017,12848,31387,16698,14689,22925,34157,28297,5860,,,86.0,11.4,3.4,,240.0,,1549.5,Bardiya,426946.0,2025.0,211.42,2019.0,10.0,Dolakha,2000-3000,2000 - 3000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,59.0,Surkhet,22.0,0.0,1.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,baglung,baglung,baglung,78,80
